1) PARAMETROS: -i 10 -n 10 -c 0.05 -m 0.8 -g 100


  GENERACION INICIAL
  Mejor adaptación: 0.651631531,    Adaptación promedio: 0.536940642

  No  Cromosoma                         Valor Real    Evaluación    Adaptación
   4  0110100011100111101101101100101   0.532721378   0.686992326   0.592770924
   5  0100011110101101010000111110010   0.363983837   0.941279928   0.515124061
   6  0011001111101101010110100101001   0.263692607   0.947174698   0.513564603
   7  0101110010100110111101100011000   0.470499423   1.081512418   0.480419906
   8  1110100011100001100010000001011   1.182598741   1.224280338   0.449583617
   9  0000111111010101101000111000000   0.080409703   1.325462071   0.430022064
  10  0100111011111100101011100111011   0.401106048   1.453712656   0.407545683

       Mínimo: f(Xopt) = 0.486086354  | Alcanzado en Xopt = 1.143140212


4) PARAMETROS: -i 100 -n 100 -c 0.05 -m 0.8 -g 100


  GENERACION INICIAL
  Mejor adaptación: 0.739457948,    Adaptación promedio: 0.511816190

  No  Cromosoma                         Valor Real    Evaluación    Adaptación
   1  1111000100100111000001000100100   1.224602078   0.352341945   0.739457948
   2  1111000011101000010110101010100   1.223359076   0.356972114   0.736934819
   3  1101111010000000001011111101011   1.129886520   0.391944529   0.718419434
   4  1101111110010101110010010010000   1.135393087   0.409862420   0.709289067
   5  1100101111110011100111001000011   1.035691755   0.445991070   0.691567203
   6  1110000010010000000000001100101   1.140356507   0.452036703   0.688687826
   7  1100100110111001101000110100011   1.024385516   0.460248692   0.684814858
   8  1101101111000110001001111100101   1.116040071   0.482679053   0.674454797
   9  1100110100110100011010100101001   1.042055358   0.494843532   0.668966335
  10  1110000101010001010010101111011   1.144190684   0.500806136   0.666308576
      ...
  93  0110000100100101100101010110010   0.493323649   1.599691139   0.384661080
  94  0010010101101110001011111111100   0.190076349   1.615069016   0.382399085
  95  0100110111101111111001100101101   0.395774380   1.623650747   0.381148292
  96  0110000001111001111100100110100   0.489918991   1.648985648   0.377502989
  97  0010010110101110101000011000000   0.191354677   1.654734454   0.376685509
  98  0100110101000001010000000010101   0.392309965   1.711009093   0.368866339
  99  0011100111011100101100100011011   0.293830948   1.745590259   0.364220406
 100  0001001100101100000010101100000   0.097358011   1.830055561   0.353349953


  GENERACION ACTUAL:    50
  Mejor adaptación: 0.738130669,    Adaptación promedio: 0.505522311

  No  Cromosoma                         Valor Real    Evaluación    Adaptación
   1  1111001001111011010101110010001   1.231352883   0.354773677   0.738130669
   2  1101110100001101110000100101101   1.122538559   0.416222539   0.706103718
   3  1100101111010000000011011111000   1.034986432   0.443066763   0.692968631
   4  1110111100000110101010100100100   1.213804089   0.444064106   0.692490033
   5  1011011010101101101111001111011   0.927665094   0.495299093   0.668762527
   6  1110000101111111000110101101011   1.145099431   0.514346678   0.660350773
   7  1011010110101000010000001000111   0.922478147   0.537499301   0.650406800
   8  1111010110110011011100010000100   1.247700104   0.546398703   0.646663760
   9  1001000110000100101110101001011   0.738960991   0.571061498   0.636512321
  10  1101101001100000000011110000100   1.108936712   0.600282790   0.624889555
      ...
  93  0010011111100000011011001000100   0.202498644   1.613371646   0.382647452
  94  0011101011001111010001000110001   0.298642689   1.634203857   0.379621341
  95  0011101011001100100110111101000   0.298589954   1.635900651   0.379376969
  96  0001001000000110000010000101001   0.091525913   1.647651521   0.377693209
  97  0100110110010101101111110110011   0.393986083   1.681533851   0.372920894
  98  0011101000100111011100100010010   0.295313715   1.741850594   0.364717174
  99  0000000000010110111010101110001   0.000454602   1.885248694   0.346590574
 100  0000000000010001110001110001100   0.000352646   1.888556870   0.346193634

       Mínimo: f(Xopt) = 0.354773677  | Alcanzado en Xopt = 1.231352883



  GENERACION ACTUAL:   100
  Mejor adaptación: 0.717963447,    Adaptación promedio: 0.509969628

  No  Cromosoma                         Valor Real    Evaluación    Adaptación
   1  1101111000100100010101010011001   1.128064463   0.392828569   0.717963447
   2  1100101000000011001100100111110   1.025844672   0.451093809   0.689135322
   3  1011100001010101010011000011000   0.936067000   0.484705971   0.673534033
   4  1011100001100001101001100101100   0.936312023   0.485479314   0.673183390
   5  1011011011100101111010001100000   0.928779327   0.489751192   0.671253029
   6  1110111001011011110111110001110   1.210416153   0.495856485   0.668513330
   7  1010010001111000101001001000011   0.835205620   0.524422933   0.655985933
   8  1010010001010000000001011011101   0.834399858   0.524523823   0.655942521
   9  1011010111100100000111100111001   0.923665690   0.525487777   0.655528032
  10  1001000110010011001110111010000   0.739248700   0.571754100   0.636231838
      ...
  93  0010010100111000110000011000001   0.189016459   1.582431622   0.387231937
  94  0010010101110000001011010010010   0.190115803   1.616288586   0.382220832
  95  0110000001111011000000111111011   0.489940188   1.649654093   0.377407754
  96  0001001000011101101000001101100   0.091993970   1.662104100   0.375642711
  97  0110000010110000100001001100101   0.491001500   1.674964589   0.373836724
  98  0001010000101001111010100110011   0.102393956   1.719318594   0.367739184
  99  0000000010010011111100101001111   0.002934754   1.804905213   0.356518286
 100  0000000001110100110010100011010   0.002316693   1.824891189   0.353995936

       Mínimo: f(Xopt) = 0.392828569  | Alcanzado en Xopt = 1.128064463


5) PARAMETROS: -i 100 -n 100 -c 0.8 -m 0.001 -g 100


  GENERACION INICIAL
  Mejor adaptación: 0.739076321,    Adaptación promedio: 0.527099093

  No  Cromosoma                         Valor Real    Evaluación    Adaptación
   1  1111001001100010110010000001011   1.230865724   0.353040237   0.739076321
   2  1110111111100100110010000010110   1.218210091   0.392760497   0.717998537
   3  1111001110011100001101110001010   1.237083126   0.393060427   0.717843950
   4  1101110100101000111000001101110   1.123076506   0.412586289   0.707921355
   5  1101110011001001000000111001000   1.121174898   0.426736952   0.700900049
   6  1100101100000011111111000101000   1.030938435   0.436083172   0.696338499
   7  1110111100011110100001101011110   1.214277408   0.437666780   0.695571473
   8  1100110000111101000001111101100   1.037148130   0.453619534   0.687937921
   9  1100100111101011001111011100101   1.025369473   0.453839743   0.687833721
  10  1111010011101100001101111111001   1.243748232   0.477524048   0.676807935
      ...
  93  0001000110011011011000001000010   0.089410250   1.582963200   0.387152244
  94  0100110010000000111100011011010   0.388495291   1.591061175   0.385942258
  95  0000000111001101011001111100010   0.009152633   1.607166473   0.383558170
  96  0100110010101101010001010111110   0.389374586   1.618598125   0.381883723
  97  0000000101010000000000001101111   0.006665106   1.685330665   0.372393617
  98  0010011000010010100010111011000   0.193336630   1.716734655   0.368088948
  99  0011100111000010100001101111111   0.293311852   1.729220695   0.366404960
 100  0001001011011101110001011100010   0.095805424   1.781141101   0.359564640


  GENERACION ACTUAL:    50
  Mejor adaptación: 0.694956479,    Adaptación promedio: 0.509630803

  No  Cromosoma                         Valor Real    Evaluación    Adaptación
   1  1100101010011100101001111110101   1.028888744   0.438939028   0.694956479
   2  1011011011101100101001111110101   0.928913158   0.489169572   0.671515198
   3  1010010000111011110001101100010   0.833998251   0.524822364   0.655814096
   4  1010010010111100100001111111101   0.836552285   0.525737631   0.655420683
   5  1011010110101101110001101111011   0.922587744   0.536333208   0.650900465
   6  1011010110101101110001101110101   0.922587740   0.536333247   0.650900449
   7  1011010110101101110001101100011   0.922587729   0.536333362   0.650900400
   8  1010001011101100100000111111010   0.827347871   0.553664829   0.643639465
   9  1010001010000101100001111110101   0.825305026   0.571455652   0.636352670
  10  1011010011101100101101111110110   0.918758148   0.583891985   0.631356184
      ...
  93  0111001010001011110001101100011   0.581678916   1.404593791   0.415870657
  94  0001011000001101110001111100010   0.111992103   1.421715673   0.412930391
  95  0011100000101100101000111100010   0.285260492   1.479513328   0.403304951
  96  1000011011101111100001111100111   0.685220179   1.527591966   0.395633478
  97  0001000110001100110001111111100   0.089120719   1.574202540   0.388469821
  98  0001000110001110110001111100011   0.089160377   1.575401079   0.388289035
  99  0011100110101110101001101100011   0.292917586   1.716794522   0.368080836
 100  0011100110101110101001101100111   0.292917588   1.716794599   0.368080826

       Mínimo: f(Xopt) = 0.438939028  | Alcanzado en Xopt = 1.028888744



  GENERACION ACTUAL:   100
  Mejor adaptación: 0.655941388,    Adaptación promedio: 0.510545149

  No  Cromosoma                         Valor Real    Evaluación    Adaptación
   1  1010010001001111110001101100110   0.834394982   0.524526458   0.655941388
   2  1010010010011101110000101100110   0.835941913   0.524911893   0.655775592
   3  1010010010011111110001101101110   0.835981901   0.524954330   0.655757343
   4  1010010000001101110001111100101   0.833085855   0.526114279   0.655258924
   5  1010010011001100111000111100111   0.836876783   0.526331636   0.655165612
   6  1010010011001101110000111101010   0.836894142   0.526366442   0.655150672
   7  1010010011001101110001101100110   0.836894372   0.526366905   0.655150473
   8  1010010011001101110001111100110   0.836894449   0.526367062   0.655150406
   9  1010010011001101110011101100101   0.836894991   0.526368153   0.655149937
  10  1010010011011101110001111100101   0.837211831   0.527057763   0.654854076
      ...
  93  0010010011001100110001101100100   0.186874534   1.517330477   0.397246213
  94  0010010011001101010100101110001   0.186885390   1.517657153   0.397194669
  95  0010010011001101010100101110110   0.186885393   1.517657244   0.397194655
  96  0010010011001111110000111100111   0.186933812   1.519114728   0.396964850
  97  0010010011101000110011101100010   0.187430572   1.534108239   0.394616135
  98  0010010011101000110011111100111   0.187430653   1.534110675   0.394615756
  99  0111010010001100110001101101100   0.591855007   1.543981589   0.393084606
 100  0000000010101000110101111100111   0.003349241   1.791522181   0.358227496

       Mínimo: f(Xopt) = 0.524526458  | Alcanzado en Xopt = 0.834394982


6) nPARAMETROS: -i 100 -n 100 -c 0.8 -m 0.001 -g 10


  GENERACION INICIAL
  Mejor adaptación: 0.739679532,    Adaptación promedio: 0.528603576

  No  Cromosoma                         Valor Real    Evaluación    Adaptación
   1  1111000100101101110001011011001   1.224736083   0.351936828   0.739679532
   2  1111001011101000000000011001111   1.233508427   0.365326517   0.732425532
   3  1110111111100001111100101011101   1.218153879   0.393296855   0.717722140
   4  1101110110111101100110111001100   1.126026766   0.397840706   0.715389097
   5  1101111101110001010111011100011   1.134670658   0.405760241   0.711358858
   6  1110111110010111011100100010110   1.216676023   0.408505576   0.709972340
   7  1101110010011111001000011011001   1.120344103   0.434048213   0.697326625
   8  1100101100101000001100111110000   1.031656852   0.436100147   0.696330268
   9  1100110100001101010001011101100   1.041278911   0.486752218   0.672607034
  10  1101101110101000000000100010100   1.115442062   0.490831373   0.670766673
      ...
  93  0001000010110100000001100000010   0.084821023   1.447397329   0.408597324
  94  0010100011101010100110100101001   0.207778681   1.448866151   0.408352249
  95  0100111010110001110111111111111   0.399622154   1.500439436   0.399929703
  96  0111001110011100100111101011001   0.587091154   1.573210953   0.388619518
  97  0000000110100000100011001111010   0.008262875   1.634939957   0.379515289
  98  0011101011000101001010101101001   0.298442344   1.640652115   0.378694336
  99  0001001011111000010100000111101   0.096331919   1.797713579   0.357434731
 100  0000000010001001011100000010110   0.002726282   1.811642769   0.355663959


  GENERACION ACTUAL:    50
  Mejor adaptación: 0.739679532,    Adaptación promedio: 0.532761457

  No  Cromosoma                         Valor Real    Evaluación    Adaptación
   1  1111000100101101110001011011001   1.224736083   0.351936828   0.739679532
   2  1111000100100101010101010100111   1.224568683   0.352445755   0.739401190
   3  1111001011101000000000011001111   1.233508427   0.365326517   0.732425532
   4  1110111111100001111100101011101   1.218153879   0.393296855   0.717722140
   5  1110111110010111011100100010110   1.216676023   0.408505576   0.709972340
   6  1101110010011111001000011011001   1.120344103   0.434048213   0.697326625
   7  1100101100101000001100111110000   1.031656852   0.436100147   0.696330268
   8  1100110100001101010001011101100   1.041278911   0.486752218   0.672607034
   9  1101101110101000000000100010100   1.115442062   0.490831373   0.670766673
  10  1110000111000011100010011000000   1.146456883   0.535940009   0.651067095
      ...
  93  0011011111100001100101010101011   0.283771642   1.434966928   0.410683196
  94  0001000010110100000001100000010   0.084821023   1.447397329   0.408597324
  95  0010100011101010100110100101001   0.207778681   1.448866151   0.408352249
  96  0100111010110001110111111111111   0.399622154   1.500439436   0.399929703
  97  0111001110011100100111101011001   0.587091154   1.573210953   0.388619518
  98  0000000110100000100011001111010   0.008262875   1.634939957   0.379515289
  99  0011101011000101001010101101001   0.298442344   1.640652115   0.378694336
 100  0001001011111000010100000111101   0.096331919   1.797713579   0.357434731

       Mínimo: f(Xopt) = 0.351936828  | Alcanzado en Xopt = 1.224736083



  GENERACION ACTUAL:   100
  Mejor adaptación: 0.739679532,    Adaptación promedio: 0.530228636

  No  Cromosoma                         Valor Real    Evaluación    Adaptación
   1  1111000100101101110001011011001   1.224736083   0.351936828   0.739679532
   2  1111001011101000000000011001111   1.233508427   0.365326517   0.732425532
   3  1110111111100001111100101011101   1.218153879   0.393296855   0.717722140
   4  1110111110010111011100100010110   1.216676023   0.408505576   0.709972340
   5  1101110010011111001000011011001   1.120344103   0.434048213   0.697326625
   6  1100101100101000001100111110000   1.031656852   0.436100147   0.696330268
   7  1100110100001101010001011101100   1.041278911   0.486752218   0.672607034
   8  1101101110101000000000100010100   1.115442062   0.490831373   0.670766673
   9  1110000111000011100010011000000   1.146456883   0.535940009   0.651067095
  10  1100111000001000010001000110000   1.046257740   0.548515506   0.645779778
      ...
  93  0001000010110100000001100000010   0.084821023   1.447397329   0.408597324
  94  0010100011101010100110100101001   0.207778681   1.448866151   0.408352249
  95  0100111010110001110111111111111   0.399622154   1.500439436   0.399929703
  96  0111001110011100100111101011001   0.587091154   1.573210953   0.388619518
  97  0000000110100000100011001111010   0.008262875   1.634939957   0.379515289
  98  0011101011000101001010101101001   0.298442344   1.640652115   0.378694336
  99  0001001001110100011100101001000   0.093716152   1.715635523   0.368237929
 100  0001001011111000010100000111101   0.096331919   1.797713579   0.357434731

       Mínimo: f(Xopt) = 0.351936828  | Alcanzado en Xopt = 1.224736083

